id,age,gender,algebra,trigo,advalgebra,anageo,diffcal,stats,intcal,advmat,numeric,vector,elxdevice,elxcirc,signals,princo,lcst,digicom,trans,micro,broadcast,control,circ1,elemag,circ2,passed
16,18,M,1,1,3,1.5,2.25,1.5,1.25,1,1.5,2.25,3,2.75,1.75,3,1,3,1.25,1,2.5,1.75,1.75,2.75,2,1
17,19,M,2.5,1.75,2.25,1.75,2.75,1.75,2.5,2,1.5,2.25,1,1.5,2.75,1,2.5,2.25,1.5,2.5,3,2.5,2,1.5,2.75,0
18,23,M,2,1.25,3,1.75,1.5,1.75,1.5,1.25,1.25,1,1.25,2,3,3,2.25,2.25,1,2.25,2.25,1,2.75,1.5,1.75,0
19,21,M,2,1.75,1,3,1,2,2.75,2.25,1,2.25,2.75,2.5,2.75,2,1,2.5,1.75,2.75,2.75,1.5,2.5,2.5,2.5,0
20,20,M,1.5,1.75,1.5,1.5,2.5,3,2.75,1,1,2.75,2.75,2,1,1.75,1.75,2,2.25,3,2,2.5,1.5,2.5,2.25,0
21,19,F,2,2,3,1.25,2.25,2.75,1.75,2.25,1,1.75,2.25,2,2.25,1,2.25,1,2.5,2.75,1.25,2,1.25,2.75,1.75,1
22,23,F,2.5,1,2.25,1.75,2.25,3,2.5,1,2.25,2.75,1.5,3,2.5,2.75,1,1,1,2.25,1.75,2,1.25,3,2.25,0
23,22,F,2.5,2.25,2.25,2.75,1.75,1,2,1.5,1,1.25,1.75,1,2.75,1.75,2.25,1.25,1.25,1.5,1.75,1.75,2.5,3,1.5,1
24,21,M,2.5,2,1.25,2.75,2,2.75,1,3,1.5,1.75,3,3,1.75,1.5,1.25,1.5,1.75,1,1.5,1.75,1.5,1.75,3,1
25,23,M,3,2.75,2.75,1.5,1.5,1,2.25,2.25,1,2.75,2.5,1.75,3,3,2.5,2,2,3,3,3,1.75,1.75,3,0
26,24,F,2.25,2,2,2.75,2.5,1.5,2.5,2.5,3,1.5,2.75,1.5,2.75,2.75,3,2.5,2,1,1.75,1,1.5,2.25,1.25,1
27,25,F,1.25,2.5,1.75,1.75,1.5,1.5,2,1.25,1.25,2.75,1.25,1.75,1,1.75,1.75,2.75,1.75,1.5,2.25,2.75,1.5,1.5,2.25,0
28,18,F,1.25,1.75,1.75,2,1,1.5,1.75,2.75,3,2.5,1,2.25,1.25,3,2.5,1.25,1.75,2.25,2.25,1.5,1,2,1.75,0
29,25,M,2.75,2.5,1.5,1,1,2.5,2.75,2,3,1.75,1.5,1.75,1,2,1,1.25,2.5,2.25,1.25,1,2.5,2.25,1.75,0
30,20,F,1.75,3,2,2,1.5,2.75,1.75,3,2.5,1.25,3,1.75,1.25,1.25,2.25,1.25,2.5,2.25,2.5,1.75,2.5,2,1.75,0
31,19,M,1.25,1.25,2.75,1.25,1.25,1.25,1.75,2,2,1.5,1.5,1.25,2.25,2,2,2.75,1,2.25,1.5,2.25,1.75,2.75,2.5,1
32,23,M,3,2.75,1.5,1.25,1,1.75,2,1.25,1,2.25,2.75,2,2,1,1.5,1.75,2,2.25,1.25,3,1.5,1.25,2.5,1
33,22,M,1.25,1.75,1.75,1,2,2.5,2.75,2,2.5,2.75,2,1,2.75,1.75,2,1.75,1.75,1.5,2.5,1,1,1.5,2,0
34,22,M,2.5,1.5,1.75,1.5,1.5,2.5,2.75,1.5,2.75,2.25,3,2,1.25,3,1.25,2.25,1.5,1.25,2,2,1.75,1.25,2.25,0
35,19,F,1,1.5,2.25,2.5,2.75,3,1.5,2.25,1.25,1.25,2,1.75,3,1.5,2.25,2.75,1.5,2.25,1.5,2.75,1.75,2,1.5,1
36,22,F,2.25,2,1.5,1.25,1,3,2.25,2.75,2.5,2,1,3,2.75,1.5,1.25,3,3,2.5,1.5,1.75,2,2.75,2.25,1
37,20,M,3,2.75,3,2.5,1.75,3,2,2.75,1.25,3,2,1,1.75,2,2,1,2,1.25,2.75,1.5,3,1,2,1
38,25,F,2.5,2.75,1.25,3,2.75,2,1,2.5,1.25,1,2.25,2.5,1.5,3,2.5,1.25,2.25,1,2.5,1.5,1.75,2.25,2.25,0
39,18,F,2.25,1.5,1,1.75,3,3,1.25,2.25,3,2.25,1.25,2.25,3,2.75,2,2.25,3,1,3,1,1,2,2.25,0
40,20,F,1.25,1.5,1.5,1.25,2.75,1.5,3,2,2.75,2.25,1.75,1.75,2.25,1.5,2.25,2.5,1.25,2,1.75,1.75,1,2.25,1,0
41,19,F,2.75,1.5,2.25,1,2,2,1.75,2.25,2.25,2.5,1.75,2.25,1.75,1.75,1.25,2.5,2.25,2.25,1.5,3,1.75,1,1,1
42,19,M,3,2,1.5,3,2.25,1,2,3,1.75,2.5,2.5,1.25,1.25,2,2.75,2.75,2.75,2,2.5,2.75,1,2,2.5,0
43,23,F,1.25,2,2.25,1,1.25,1,2,1.5,1,3,1,2.75,1,2.75,2.25,1.75,2,2.5,1.25,2.5,2.75,1.25,1.75,1
44,19,F,1.25,1.75,3,1.5,1.5,1,1.5,1.5,1.5,2.75,1,1.75,3,1.75,2.75,1.75,1.75,1.5,1.25,3,1,2.75,2.25,1
45,18,M,3,3,2.25,2.75,1.5,1.75,2,1,1.5,1.25,2.25,2.75,3,2.25,2.5,2.25,2.25,1.25,2,1.75,1.75,1.5,2.25,0
46,24,F,1.25,3,1.5,2.5,1,2,2.25,2.25,1.5,1,2,2.5,3,2.25,2.75,1.25,1,2.25,2.5,2.75,2,1.75,2,0
47,20,M,1.25,1,2,1.5,1.75,2.5,1.75,2.25,1,2,1.25,2.75,1,2.75,1.5,2.5,3,3,3,2,1.25,1.5,2.75,1
48,18,M,2.75,2.5,1.25,2.5,2,1,2.75,1,1.25,2.75,1.75,2.75,2.5,1.25,3,2,1.5,1.5,2.75,1.75,3,2,1,1
49,20,M,1,2.25,2.75,1.25,2.5,1.75,1.5,1.75,1.25,2.25,2.25,2.75,2.5,2,2.5,2,2.5,1,1.5,2,2,1.75,1.5,1
50,22,F,1,2.25,2.75,2.5,1.25,3,2,3,3,2.25,3,2.5,2,1,2,1,2,1,2,2.5,3,1.5,2,1
51,22,F,2.25,1.25,3,2.75,1.5,2.5,2,1.5,1.25,2.75,1,2.5,1,1,3,1.25,2.75,1.75,1.75,2.75,2,2.25,2.5,1
52,23,M,2,2.25,1.25,2,2,1.25,1.75,1.75,1.75,1.75,1.25,3,3,2,1.25,2.75,2.5,2.5,2.5,2.5,2.25,1,2.25,0
53,22,M,2.25,1,1,1.25,1,1.25,3,1.25,2,2.5,2.5,2.5,1.75,1.75,1.5,2.75,2.25,2.5,2,2.25,1.75,1.5,2,0
54,21,M,1.5,2.75,1.75,1.5,1.75,3,2,2.75,3,1.25,1.75,1.25,1,1.5,1,2,2.75,3,1.75,2.75,2,3,2.25,0
55,25,F,3,2.5,1.5,2.25,3,2,1.25,1.25,2,1.25,2.25,1.5,3,1.25,2,1.25,3,2,2,2,1.5,2.75,1.5,1
56,18,F,1.75,1,3,1,2.25,1.75,2,1,1.5,1.25,2,2,2.25,2.25,1.25,1.25,2,2.5,2.75,1.5,2.25,1.75,2.5,0
57,19,M,1,1.25,3,2,2,1.75,2.5,1.5,2,1.75,2.5,2.5,3,2,1.5,1.25,2.25,1,2,2,1.25,3,3,1
58,19,F,2,2.25,1.5,3,2,1,1,2.25,1,2.25,2.25,2,1.25,2.25,1.25,3,2.75,2.75,2.75,1.75,2,2.75,2,1
59,25,M,3,2.75,1,1.25,1,2.75,2.5,1.5,2.5,1,2.5,1.75,2.5,2.5,1.75,1.5,2.5,2.75,1.75,3,1.5,1.75,1.25,0
60,21,F,2.25,3,1.25,1.25,1.5,2.5,1.25,1.75,1.25,1.75,3,2.25,2.25,1.25,2,1.5,2.25,2,1.25,2.75,1.5,1.75,3,0
61,18,F,1.5,2.5,1.5,1.75,2.5,2.5,1,2.25,1.25,2,2.5,3,2.5,1.25,2.75,3,1.5,2.5,1.25,2,2.25,2.5,1.5,1
62,18,F,1.5,2,2,1.75,2.75,2.25,3,1.25,2.5,1,1,1,2.25,2,1.75,1.5,2.75,1.25,2.5,3,2.5,3,1,1
63,21,M,2.75,1.25,2.5,3,2,2,1.75,1.25,2,1.5,1.25,2,2.25,1.75,2.5,2.5,1.25,2,2,1.5,3,1,1,0
64,21,F,1.25,2,2,1.5,1,2.25,2.75,1,1.5,1,2.75,1.25,1.25,2,2.5,2.5,2,3,2,2,1.5,2.75,1.25,0
65,25,M,2.5,1.25,1.75,2.75,1.25,2.75,2,1.75,2.25,2,2,1.25,2.25,2.5,1.75,2.75,1.25,2.25,1.75,2.25,1.75,1.5,1.25,0
66,22,F,2,1,1.75,1,2.5,2.25,2.75,1.5,1.25,1,2.75,2.75,2.75,2.75,2,2,2.5,2,2.75,1.75,1,1.5,1.5,1
67,23,F,2.25,1.25,2,3,2,1,3,1.25,2.75,2.75,2.5,2.75,1.5,2,1.25,1.5,2.5,2,2.75,2,1.25,1.5,3,1
68,23,F,3,2.25,1,1.75,2.25,1.5,1.25,2.5,1.75,1.5,1,1,2.75,3,2.25,2.75,1.25,3,3,1.75,2.5,2,1.25,1
69,21,M,2.75,2.75,2.5,1,2.75,2.75,1.25,1,1.5,1,2.5,1,2.5,1.75,1.75,1.75,3,1.75,1,1.5,1,1.25,3,1
70,20,M,1.5,2.25,2.75,1.25,2.25,2.75,1.25,2.25,1.75,2.5,1.25,1.75,1.25,1,1.25,2.75,2.25,1.75,1.75,3,1.75,1.5,3,0
71,24,M,2.75,2.25,3,2,2.75,2.75,1.5,2.75,3,1.5,2.75,2.75,1.75,2.25,2.5,2.75,2.75,1.25,1.75,3,2,2.25,1.5,0
72,19,M,2.5,2.25,1.25,3,1.5,2.75,1.75,2.25,1.5,1.75,3,1.25,1.5,2.25,2.75,2.5,1.5,2.25,1.75,1.25,2.75,2,1.75,0
73,20,F,1.75,3,2.25,3,1.25,3,1,2,2.25,1,1,1.25,2,2.5,2.75,2.5,1.5,2.25,2.25,1,2.25,1.25,1.5,0
74,21,M,2,1.25,3,1.5,2.5,1.25,2.5,1.75,1.25,1,2.75,2.75,2,2.75,1,2.5,2.75,1.75,3,1.25,2,1.5,2.75,1
75,19,F,1.5,1.75,1.25,1,2.25,2.5,1.75,1.75,2.75,2.75,2.75,2.5,2.75,1.5,1.25,2.5,1,2.75,2,2.25,1.75,1,1.5,0
76,21,M,2.5,3,1.75,3,1.25,1.5,1.5,1,2.25,2.5,2.75,1.5,1,2,1.75,3,2.5,1.25,2.5,2,3,2.5,1.5,1
77,24,M,2.25,2.5,2,2.5,1.5,3,1.75,2,1.75,1.5,1,1.5,3,1,2.25,1.25,2.5,2.5,2.25,1,3,1.75,2.25,1
78,23,M,2.5,2.25,2.75,1,1.75,1,1.5,1.25,1.5,2.5,1.5,2.75,1.5,2.25,3,1.25,3,1.25,2.25,2.5,1.75,1.75,1,0
79,25,F,1.5,1.5,1.75,2.75,1.5,3,1,2.75,2.5,1,3,1.25,1.5,1,3,3,2.25,2.75,1.75,1.25,2.25,1.5,3,0
80,24,F,2.25,2,2.5,1.25,2.75,1.25,2.5,2.75,2.75,2.75,1.5,1,2.5,2.25,1.5,2.5,3,2.75,2.75,1.75,2.75,2.75,2.5,1
81,22,M,1.5,2,2.5,3,2.5,2,1.25,1.75,1,1.5,3,3,2,1,2,2.5,1.25,1,2.75,2.25,2,3,1.25,0
82,21,M,2,1,1.75,2.5,2.25,1.5,1.5,2,2,2.75,1.5,3,2.5,1.75,2,1,3,2.75,2.25,2.25,1.5,1,2.5,0
83,19,F,1.5,1,2.75,2.75,1.75,1.75,2,1.25,2.25,3,3,2.5,2.5,1.5,1.75,1.75,2,3,3,2.25,3,2.75,1.5,0
84,20,M,1.5,1.25,1.25,1.25,2.25,2.25,2.5,1,2.75,1.25,2,1,2.75,1.5,2.75,2.25,2.25,2.75,3,2.75,1.75,1.75,1.25,1
85,25,F,1.25,2.75,3,2.75,2.25,2,2.25,2,1,2.75,1.25,2.25,1,2.5,1.75,1.75,2.25,2,1.5,2.75,2,1.75,1,0
86,19,M,3,3,2.25,1.75,1.75,2,2.75,3,1.75,2.75,2.25,2.75,3,1.75,1.25,1.25,1.5,1.75,2.5,1.75,2,1.75,1.5,1
87,18,F,2.5,1.25,1.75,2,2.75,2.25,2.75,2.5,2.5,3,2.25,1.25,3,1,2.75,2,3,1.75,2.5,2,1.5,1.75,2.5,1
88,19,F,2,3,2,2,1.5,1.5,1.5,1,1,1,1.25,2.5,1.5,1.25,1.5,1.25,2,2.75,1,2.5,1.5,2,2,1
89,23,M,2.5,1.75,2.25,1.75,2.25,2.5,2.5,1.25,2.25,1.75,1.5,2.5,3,2,2.5,3,2.25,1.25,3,1.25,3,3,1.5,0
90,18,M,1,2.25,3,2.75,2.5,1,1,2.75,1.5,2.5,2,2.5,1.5,1.75,1.75,1.25,2.75,2.5,2,3,1.25,2.5,3,1
91,18,F,1,2.5,1.5,2,1.25,3,2,2.75,1.75,1,2,3,2,2.5,1.25,1,2,2,3,1.5,2,1.5,2.5,1
92,23,M,2.5,1.25,2.75,1.75,1.25,2.75,2.25,2.75,1.5,2.75,1.5,2.75,2.5,3,3,1.25,1.75,2,1,1.5,2.5,3,3,1
93,19,M,2.5,3,2.75,3,3,2.75,2.25,1,1,3,1.75,1.25,1.25,2.5,1.25,1.75,3,2.25,1.75,1.5,2.25,1,1,1
94,20,M,1.75,2.75,1.25,1.5,2.75,2.5,1,2.75,2.5,2,1,3,2.5,1.25,3,1,1,1,3,2.5,1.25,1.25,3,0
95,25,M,1.25,1,2.5,2.5,2,1.25,1.25,3,2.25,1,2,2,2.75,2.5,2.5,1.75,2.25,1,1.75,2.5,1.75,1,1.75,0
96,19,M,2.25,2.75,1.25,1.25,1.5,2,1.75,2,1,3,2.25,2.5,2.25,1,1,3,1.75,2,2,1,3,1.25,1,1
97,20,F,3,1.75,2,1.25,1.75,1.25,1.75,2.75,2,3,2.75,3,2.25,2,2.75,1.5,1.75,2.5,2.5,1.25,2.5,1.75,2.75,0
98,22,F,2.25,3,2.5,1,2,1.5,1.5,1.25,1.25,1,1.75,2.25,1.25,2.5,2.75,2.5,2.25,2.5,1.75,1,2.25,2,1.5,1
99,18,M,1,2.75,3,2,1.5,2.5,1.75,1.75,1.25,2.75,2.5,1.75,2.25,3,2.75,2.5,2.5,2.75,1.5,1,1.5,3,1.5,1
100,21,F,2.75,3,2.5,2.5,2,3,1.5,1.5,2.75,3,1.25,2.5,1.5,2.5,3,1.5,2,1.5,1.25,2.25,2.5,2.25,2.25,1
101,20,F,1.25,2.25,1.75,1.5,1.5,2,1,1.25,1.75,2.5,1,1,1.25,1.5,3,3,1.75,3,2,2.75,2.25,2,1,0
102,21,M,1.5,3,2,2.25,2.25,2,2,2.5,2.75,1.25,2,2.25,1.5,2.5,1.75,1,2.75,1.25,2.75,1.25,2.75,1,2.5,0
103,23,M,2.5,2.5,1.75,2.5,1,3,1.5,2.75,1,1.5,2.25,3,1.75,1,2.25,1,2.25,1.5,2,2,2.25,2.75,1.75,1
104,24,M,3,3,3,1.5,1.25,1.5,1.25,2.5,2,1,1.75,2.75,1.75,2.5,1.75,1.75,3,1,1.5,2.25,2,2.25,3,0
105,23,M,3,1,1.25,1.25,1,2,1.5,2.25,2.75,2.5,2.75,2.75,2.75,2.5,1.75,1.5,1,1,3,1.5,1.25,2.25,1.75,0
106,23,M,1,1,2.75,2.25,1,2.75,2.25,1.25,1,2.25,1.75,2.25,1.5,2,2.25,1,1.25,1.5,2.5,1,1,2,1.5,0
107,24,M,2.25,2.5,2,1.5,2.5,2.5,2,1.25,2,2.75,2.5,2.5,2.5,2.5,1.25,1.5,1,2.25,1,2,2.75,2.25,2.75,0
108,18,F,2.75,3,1,1.5,2.75,1.25,2,2.25,1.5,2.25,2.5,1.5,2.25,2.25,1.5,3,1.25,1.75,2.25,3,2.5,3,1.5,0
109,24,F,2.75,1,1,3,2,3,1.25,3,2.75,2.5,2.75,1.25,2.75,2,1.75,2.75,1,1.75,1.75,2.5,2.75,2.75,1.75,0
110,22,F,2,2,1,2.75,1,2.25,1.5,1.25,1.5,2.25,1.25,2.25,1.75,1.25,2,2.25,3,2.5,1.5,1,1.75,2.75,1.75,0
111,19,F,2.5,3,1,2.5,1,1.5,2.75,1.25,2.25,2.5,2.25,1,1.75,1.5,1,3,2.25,3,1.75,2.5,1.5,2.5,1.75,1
112,22,M,1.75,2.75,1.25,2,3,1,3,1.5,2.25,1,1.25,1.5,1.75,1.25,2.75,1.5,2.5,1,1.5,3,1.75,2.25,1.25,1
113,25,M,1.75,1.75,1.75,1.5,2.5,2.5,2,1,1.5,1.75,2.75,1.25,1.25,2.5,1.25,1.25,1.75,1.25,1,1.25,1.5,2.75,1.5,1
114,25,F,1.5,1.25,3,1,2.75,1.75,1,1.25,2.75,2.5,1,2.5,1.5,1.75,2.25,1.75,1,1.5,1.5,1.25,2.75,2.5,3,0
115,24,F,1.75,1.75,1.75,1,2,1.5,1.25,1,1.75,2.25,2.75,2,1.25,1.5,1.5,2.25,1.25,1.75,1,3,1,2.75,1.25,1
116,18,M,1,1,3,1.5,2.25,1.5,1.25,1,1.5,2.25,3,2.75,1.75,3,1,3,1.25,1,2.5,1.75,1.75,2.75,2,1
117,19,M,2.5,1.75,2.25,1.75,2.75,1.75,2.5,2,1.5,2.25,1,1.5,2.75,1,2.5,2.25,1.5,2.5,3,2.5,2,1.5,2.75,0
118,23,M,2,1.25,3,1.75,1.5,1.75,1.5,1.25,1.25,1,1.25,2,3,3,2.25,2.25,1,2.25,2.25,1,2.75,1.5,1.75,0
119,21,M,2,1.75,1,3,1,2,2.75,2.25,1,2.25,2.75,2.5,2.75,2,1,2.5,1.75,2.75,2.75,1.5,2.5,2.5,2.5,0
120,20,M,1.5,1.75,1.5,1.5,2.5,3,2.75,1,1,2.75,2.75,2,1,1.75,1.75,2,2.25,3,2,2.5,1.5,2.5,2.25,0
121,19,F,2,2,3,1.25,2.25,2.75,1.75,2.25,1,1.75,2.25,2,2.25,1,2.25,1,2.5,2.75,1.25,2,1.25,2.75,1.75,1
122,23,F,2.5,1,2.25,1.75,2.25,3,2.5,1,2.25,2.75,1.5,3,2.5,2.75,1,1,1,2.25,1.75,2,1.25,3,2.25,0
123,22,F,2.5,2.25,2.25,2.75,1.75,1,2,1.5,1,1.25,1.75,1,2.75,1.75,2.25,1.25,1.25,1.5,1.75,1.75,2.5,3,1.5,1
124,21,M,2.5,2,1.25,2.75,2,2.75,1,3,1.5,1.75,3,3,1.75,1.5,1.25,1.5,1.75,1,1.5,1.75,1.5,1.75,3,1
125,23,M,3,2.75,2.75,1.5,1.5,1,2.25,2.25,1,2.75,2.5,1.75,3,3,2.5,2,2,3,3,3,1.75,1.75,3,0
126,24,F,2.25,2,2,2.75,2.5,1.5,2.5,2.5,3,1.5,2.75,1.5,2.75,2.75,3,2.5,2,1,1.75,1,1.5,2.25,1.25,1
127,25,F,1.25,2.5,1.75,1.75,1.5,1.5,2,1.25,1.25,2.75,1.25,1.75,1,1.75,1.75,2.75,1.75,1.5,2.25,2.75,1.5,1.5,2.25,0
128,18,F,1.25,1.75,1.75,2,1,1.5,1.75,2.75,3,2.5,1,2.25,1.25,3,2.5,1.25,1.75,2.25,2.25,1.5,1,2,1.75,0
129,25,M,2.75,2.5,1.5,1,1,2.5,2.75,2,3,1.75,1.5,1.75,1,2,1,1.25,2.5,2.25,1.25,1,2.5,2.25,1.75,0
130,20,F,1.75,3,2,2,1.5,2.75,1.75,3,2.5,1.25,3,1.75,1.25,1.25,2.25,1.25,2.5,2.25,2.5,1.75,2.5,2,1.75,0
131,19,M,1.25,1.25,2.75,1.25,1.25,1.25,1.75,2,2,1.5,1.5,1.25,2.25,2,2,2.75,1,2.25,1.5,2.25,1.75,2.75,2.5,1
132,23,M,3,2.75,1.5,1.25,1,1.75,2,1.25,1,2.25,2.75,2,2,1,1.5,1.75,2,2.25,1.25,3,1.5,1.25,2.5,1
133,22,M,1.25,1.75,1.75,1,2,2.5,2.75,2,2.5,2.75,2,1,2.75,1.75,2,1.75,1.75,1.5,2.5,1,1,1.5,2,0
134,22,M,2.5,1.5,1.75,1.5,1.5,2.5,2.75,1.5,2.75,2.25,3,2,1.25,3,1.25,2.25,1.5,1.25,2,2,1.75,1.25,2.25,0
135,19,F,1,1.5,2.25,2.5,2.75,3,1.5,2.25,1.25,1.25,2,1.75,3,1.5,2.25,2.75,1.5,2.25,1.5,2.75,1.75,2,1.5,1
136,22,F,2.25,2,1.5,1.25,1,3,2.25,2.75,2.5,2,1,3,2.75,1.5,1.25,3,3,2.5,1.5,1.75,2,2.75,2.25,1
137,20,M,3,2.75,3,2.5,1.75,3,2,2.75,1.25,3,2,1,1.75,2,2,1,2,1.25,2.75,1.5,3,1,2,1
138,25,F,2.5,2.75,1.25,3,2.75,2,1,2.5,1.25,1,2.25,2.5,1.5,3,2.5,1.25,2.25,1,2.5,1.5,1.75,2.25,2.25,0
139,18,F,2.25,1.5,1,1.75,3,3,1.25,2.25,3,2.25,1.25,2.25,3,2.75,2,2.25,3,1,3,1,1,2,2.25,0
140,20,F,1.25,1.5,1.5,1.25,2.75,1.5,3,2,2.75,2.25,1.75,1.75,2.25,1.5,2.25,2.5,1.25,2,1.75,1.75,1,2.25,1,0
141,19,F,2.75,1.5,2.25,1,2,2,1.75,2.25,2.25,2.5,1.75,2.25,1.75,1.75,1.25,2.5,2.25,2.25,1.5,3,1.75,1,1,1
142,19,M,3,2,1.5,3,2.25,1,2,3,1.75,2.5,2.5,1.25,1.25,2,2.75,2.75,2.75,2,2.5,2.75,1,2,2.5,0
143,23,F,1.25,2,2.25,1,1.25,1,2,1.5,1,3,1,2.75,1,2.75,2.25,1.75,2,2.5,1.25,2.5,2.75,1.25,1.75,1
144,19,F,1.25,1.75,3,1.5,1.5,1,1.5,1.5,1.5,2.75,1,1.75,3,1.75,2.75,1.75,1.75,1.5,1.25,3,1,2.75,2.25,1
145,18,M,3,3,2.25,2.75,1.5,1.75,2,1,1.5,1.25,2.25,2.75,3,2.25,2.5,2.25,2.25,1.25,2,1.75,1.75,1.5,2.25,0
146,24,F,1.25,3,1.5,2.5,1,2,2.25,2.25,1.5,1,2,2.5,3,2.25,2.75,1.25,1,2.25,2.5,2.75,2,1.75,2,0
147,20,M,1.25,1,2,1.5,1.75,2.5,1.75,2.25,1,2,1.25,2.75,1,2.75,1.5,2.5,3,3,3,2,1.25,1.5,2.75,1
148,18,M,2.75,2.5,1.25,2.5,2,1,2.75,1,1.25,2.75,1.75,2.75,2.5,1.25,3,2,1.5,1.5,2.75,1.75,3,2,1,1
149,20,M,1,2.25,2.75,1.25,2.5,1.75,1.5,1.75,1.25,2.25,2.25,2.75,2.5,2,2.5,2,2.5,1,1.5,2,2,1.75,1.5,1
150,22,F,1,2.25,2.75,2.5,1.25,3,2,3,3,2.25,3,2.5,2,1,2,1,2,1,2,2.5,3,1.5,2,1
151,22,F,2.25,1.25,3,2.75,1.5,2.5,2,1.5,1.25,2.75,1,2.5,1,1,3,1.25,2.75,1.75,1.75,2.75,2,2.25,2.5,1
152,23,M,2,2.25,1.25,2,2,1.25,1.75,1.75,1.75,1.75,1.25,3,3,2,1.25,2.75,2.5,2.5,2.5,2.5,2.25,1,2.25,0
153,22,M,2.25,1,1,1.25,1,1.25,3,1.25,2,2.5,2.5,2.5,1.75,1.75,1.5,2.75,2.25,2.5,2,2.25,1.75,1.5,2,0
154,21,M,1.5,2.75,1.75,1.5,1.75,3,2,2.75,3,1.25,1.75,1.25,1,1.5,1,2,2.75,3,1.75,2.75,2,3,2.25,0
155,25,F,3,2.5,1.5,2.25,3,2,1.25,1.25,2,1.25,2.25,1.5,3,1.25,2,1.25,3,2,2,2,1.5,2.75,1.5,1
156,18,F,1.75,1,3,1,2.25,1.75,2,1,1.5,1.25,2,2,2.25,2.25,1.25,1.25,2,2.5,2.75,1.5,2.25,1.75,2.5,0
157,19,M,1,1.25,3,2,2,1.75,2.5,1.5,2,1.75,2.5,2.5,3,2,1.5,1.25,2.25,1,2,2,1.25,3,3,1
158,19,F,2,2.25,1.5,3,2,1,1,2.25,1,2.25,2.25,2,1.25,2.25,1.25,3,2.75,2.75,2.75,1.75,2,2.75,2,1
159,25,M,3,2.75,1,1.25,1,2.75,2.5,1.5,2.5,1,2.5,1.75,2.5,2.5,1.75,1.5,2.5,2.75,1.75,3,1.5,1.75,1.25,0
160,21,F,2.25,3,1.25,1.25,1.5,2.5,1.25,1.75,1.25,1.75,3,2.25,2.25,1.25,2,1.5,2.25,2,1.25,2.75,1.5,1.75,3,0
161,18,F,1.5,2.5,1.5,1.75,2.5,2.5,1,2.25,1.25,2,2.5,3,2.5,1.25,2.75,3,1.5,2.5,1.25,2,2.25,2.5,1.5,1
